Year,Tapis Blend Crude Oil,Labuan Crude,Miri Light Crude Oil,Bintulu Crude Oil,Terengganu Condensate,Bintulu Condensate,Dulang Crude Oil,Kikeh Crude Oil
1990,23.86,23.76,23.56,23.06,22.76,19.1,n/a,n/a
1991,21.47,21.37,21.17,20.67,20.37,26.35,n/a,n/a
1992,20.98,20.88,20.68,20.18,19.88,20.2,21.15,n/a
1993,19.11,19.11,18.91,18.46,18.26,18.25,19.2,n/a
1994,17.3,17.4,17.2,16.9,16.45,15,15.4,n/a
1995,18.53,18.63,18.43,18.06,17.33,17.36,18.16,n/a
1996,22.28,22.38,22.18,21.89,21.08,19.79,20.3,n/a
1997,21.18,21.33,21.28,20.78,19.98,25.13,25.66,n/a
1998,13.81,13.84,13.83,13.48,12.61,14.8,15.57,n/a
1999,18.95,18.95,18.95,29.95,17.76,11.14,11.84,n/a
2000,30.25,30.25,30.25,29.95,30.29,29.09,29.18,n/a
2001,25.06,25.06,25.06,24.78,23.86,23.96,24.68,n/a
2002,25.52,25.52,25.52,25.22,24.32,24.42,25.23,n/a
2003,30.6,30.6,30.6,30.33,29.4,29.5,29.99,n/a
2004,41.84,41.84,41.84,41.54,40.64,40.74,41.17,n/a
2005,57.71,57.71,57.71,57.43,56.51,56.61,57.41,n/a
2006,69.56,69.56,69.56,69.28,68.66,68.45,68.96,n/a
2007,78.96,78.96,78.96,78.66,77.91,77.92,78.59,n/a
2008,102.79,102.79,102.79,102.49,101.59,101.69,102.49,n/a
2009,64.97,64.97,64.97,64.67,63.77,63.87,64.67,n/a
2010,79.51,79.51,79.51,79.21,78.31,78.41,79.21,n/a
2011,115.33,115.33,115.33,115.03,115.03,114.13,114.23,n/a
2012,118.22,118.66,118.56,118.36,110.92,110.62,118.16,n/a
2013,115.3,116.6,116.3,115.4,108,107.7,115.7,116.6
2014,103.26,106.41,104.89,103.13,91.82,93.99,105.46,105.66
2015,45.12,47.73,47.63,47.35,44.94,40.28,42.98,46.96
2016,45.43,47.63,47.63,45.13,39.76,42.56,47.23,47.63
2017,56.3,57.9,57.9,57.9,56.3,53.57,54.97,57.9
2018,73.84,75.24,75.24,73.84,67.71,69.41,73.84,75.24
